state,access
Washington,Protective
Oregon,Protective
California,Protective
Idaho,Most restrictive
Nevada,Some restrictions/protections
Utah,Restrictive or very restrictive
Arizona,Most restrictive
Montana,Protective
Colorado,Protective
New Mexico,Protective
Wyoming,Restrictive or very restrictive
North Dakota,Most restrictive
South Dakota,Most restrictive
Nebraska,Restrictive or very restrictive
Kansas,Restrictive or very restrictive
Oklahoma,Most restrictive
Texas,Most restrictive
Minnesota,Protective
Iowa,Restrictive or very restrictive
Missouri,Most restrictive
Arkansas,Most restrictive
Louisiana,Most restrictive
Wisconsin,Restrictive or very restrictive
Illinois,Protective
Michigan,Protective
Indiana,Most restrictive
Kentucky,Most restrictive
Tennessee,Most restrictive
Mississippi,Most restrictive
Alabama,Most restrictive
Georgia,Most restrictive
Florida,Most restrictive
South Carolina,Most restrictive
West Virginia,Most restrictive
Ohio,Restrictive or very restrictive
Pennsylvania,Restrictive or very restrictive
Virginia,Restrictive or very restrictive
North Carolina,Restrictive or very restrictive
Maryland,Protective
New York,Protective
New Jersey,Protective
Vermont,Protective
Massachusetts,Protective
Connecticut,Protective
Maine,Protective
New Hampshire,Some restrictions/protections
Delaware,Some restrictions/protections
Rhode Island,Some restrictions/protections